has_mcq,reading_time_avg,grade_level_sum,story_type,freadom_point,reading_count,view_count,like_count,is_published,mcq,landscape,experience_count,view_count-level_1:easy,view_count-level_1:hard,view_count-level_2:easy,view_count-level_2:hard,view_count-level_3:easy,view_count-level_3:hard,view_count-level_4:easy,view_count-level_4:hard,view_count-level_5:easy,view_count-level_5:hard,view_count-level_6:easy,view_count-level_6:hard,view_count-level_7:easy,view_count-level_7:hard,view_count-level_8:hard,view_count-level_9:easy,view_count-level_9:hard,completed_count-level_8:easy,completed_count-level_1:easy,completed_count-level_1:hard,completed_count-level_2:easy,completed_count-level_2:hard,completed_count-level_3:easy,completed_count-level_3:hard,completed_count-level_4:easy,completed_count-level_4:hard,completed_count-level_5:easy,completed_count-level_5:hard,completed_count-level_6:easy,completed_count-level_6:hard,completed_count-level_7:easy,completed_count-level_7:hard,completed_count-level_8:hard,completed_count-level_9:easy,completed_count-level_9:hard,reading_time_avg,grade_level_sum,story_id_code
True,12.5,5.0,read,0,328,476,49,False,True,False,25,0,0,0,9,45,64,39,54,45,56,63,57,0,6,0.0,0.0,0.0,0.0,0,0,0,8,24,50,9,41,25,43,44,48,0,6,0.0,0.0,0.0,12.5,5.0,1894
False,7.5,7.5,read,0,1076,1345,126,True,False,False,56,18,27,51,179,62,304,70,286,103,191,1,24,2,4,0.0,0.0,0.0,0.0,11,24,32,163,45,275,44,238,61,126,1,21,1,4,0.0,0.0,0.0,7.5,7.5,1281
True,7.5,8.5,read,0,1112,1464,140,True,True,False,75,0,0,0,0,0,0,0,2,161,311,174,416,128,276,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,80,227,103,369,68,251,0.0,0.0,0.0,7.5,8.5,1775
True,7.5,5.0,read,0,630,688,83,False,True,False,37,0,0,0,57,9,177,17,186,11,124,24,55,0,5,0.0,0.0,0.0,0.0,0,0,0,56,8,165,11,175,10,111,19,51,0,4,0.0,0.0,0.0,7.5,5.0,382
False,7.5,7.5,read,0,929,1225,116,True,False,False,38,0,0,60,114,43,192,124,314,120,251,2,5,0,0,0.0,0.0,0.0,0.0,0,0,33,100,24,178,58,250,74,192,1,4,0,0,0.0,0.0,0.0,7.5,7.5,551
True,7.5,11.5,read,0,2215,2881,242,True,True,False,106,1,0,1,0,0,77,101,245,150,344,443,596,488,437,0.0,0.0,0.0,0.0,1,0,1,0,0,71,52,216,87,308,277,501,322,361,0.0,0.0,0.0,7.5,11.5,596
True,7.5,7.5,read,0,1962,2827,211,True,True,False,90,1,0,128,82,78,93,290,417,273,557,156,483,56,212,0.0,0.0,0.0,0.0,1,0,62,55,28,61,103,298,136,422,99,432,41,197,0.0,0.0,0.0,7.5,7.5,1656
True,7.5,7.5,read,0,1175,1551,145,True,True,False,64,0,1,0,96,39,244,152,450,118,329,35,75,1,7,0.0,0.0,0.0,0.0,0,1,0,80,28,217,81,338,70,245,24,63,0,7,0.0,0.0,0.0,7.5,7.5,581
True,7.5,3.5,read,0,1792,2368,177,True,True,False,84,23,13,204,290,232,455,275,449,104,275,6,14,1,0,0.0,0.0,0.0,0.0,12,11,112,233,128,386,164,382,72,244,5,13,1,0,0.0,0.0,0.0,7.5,3.5,1607
True,7.5,10.5,read,0,1351,1839,167,True,True,False,74,0,0,0,0,1,0,23,193,123,385,327,529,44,209,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,133,58,313,163,434,34,189,0.0,0.0,0.0,7.5,10.5,323
True,7.5,7.5,read,0,1865,2508,214,True,True,False,100,1,0,1,24,14,201,339,524,310,583,119,325,19,43,0.0,0.0,0.0,0.0,1,0,0,15,9,173,164,403,171,472,84,296,13,36,0.0,0.0,0.0,7.5,7.5,216
True,7.5,8.5,read,0,1838,2662,184,True,True,False,92,1,0,0,0,42,116,201,311,796,718,129,308,10,22,0.0,0.0,0.0,0.0,1,0,0,0,19,99,106,275,380,553,88,282,3,21,0.0,0.0,0.0,7.5,8.5,510
True,7.5,12.5,listen,0,1554,2322,275,True,True,False,80,0,2,0,0,0,1,0,17,2,335,234,590,640,506,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,15,2,251,112,486,307,364,0.0,0.0,0.0,7.5,12.5,1179
True,7.5,12.5,read,0,918,1167,118,True,True,False,47,0,1,0,0,1,0,1,17,0,184,98,373,194,299,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,14,0,146,54,332,116,240,0.0,0.0,0.0,7.5,12.5,1886
False,7.5,9.5,listen,0,2544,4135,482,True,True,False,115,1,2,0,0,0,0,181,452,230,713,534,783,803,519,0.0,0.0,0.0,0.0,1,0,0,0,0,0,62,281,98,509,254,622,331,366,0.0,0.0,0.0,7.5,9.5,273
False,12.5,11.5,read,0,776,1169,114,True,True,False,50,1,0,0,0,0,0,0,23,0,56,198,360,239,299,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,13,0,37,91,284,109,223,0.0,0.0,0.0,12.5,11.5,1377
True,12.5,11.5,read,0,2724,4013,303,True,True,False,135,0,1,0,0,0,0,2,90,34,332,886,805,1251,624,0.0,0.0,0.0,0.0,0,1,0,0,0,0,2,82,22,297,458,663,688,493,0.0,0.0,0.0,12.5,11.5,1721
True,12.5,9.5,read,0,797,1229,132,True,True,False,37,0,0,0,0,0,0,0,2,96,141,265,442,51,242,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,35,72,112,331,30,208,0.0,0.0,0.0,12.5,9.5,491
True,12.5,12.5,read,0,1119,1558,151,True,True,False,62,0,0,0,0,1,0,0,2,0,221,273,555,204,325,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,173,128,451,98,261,0.0,0.0,0.0,12.5,12.5,1081
